imonth,extended,crit1,crit2,crit3,doubtterr,longitude,latitude,attacktype1,success,suicide,weaptype1,weapsubtype1,targtype1,targsubtype1,gname,nperps,nperpcap,claimed,nkill,nkillter,nwound,nwoundte,property,ishostkid,hostkidoutcome,city,weaptype1_txt,targtype1_txt,attacktype1_txt
1,0,1,1,1,0,76.576171,33.778175,2,1,0,9,23,14,69,Unknown,-1,0,0,23,0,-1,0,1,0,-1,Wandhama,Melee,Private Citizens & Property,Armed Assault
4,0,1,1,1,0,74.730781,33.200294,2,1,0,5,2,14,67,Unknown,-1,-1,0,13,0,-1,-1,1,0,-1,Thub,Firearms,Private Citizens & Property,Armed Assault
4,0,1,1,1,0,75.135264,32.925224,2,1,0,5,2,14,67,Unknown,-1,-1,0,26,0,-1,-1,1,0,-1,Udhampur district,Firearms,Private Citizens & Property,Armed Assault
5,0,1,1,1,0,74.263416,33.639869,2,1,0,5,-1,14,71,Unknown,-1,-1,0,4,0,0,0,0,0,-1,Surankot,Firearms,Private Citizens & Property,Armed Assault
5,0,1,1,1,0,75.548049,33.14575,2,1,0,5,-1,14,71,Unknown,-1,-1,0,5,0,0,0,0,0,-1,Doda district,Firearms,Private Citizens & Property,Armed Assault
6,0,1,1,1,0,76.576171,33.778175,2,1,0,5,2,14,78,Unknown,5,0,0,25,0,6,0,0,0,-1,Chapnali,Firearms,Private Citizens & Property,Armed Assault
7,0,1,1,1,0,74.789902,34.08374,2,1,0,5,-1,14,67,Unknown,-1,-1,0,8,0,3,0,0,0,-1,Chanapora,Firearms,Private Citizens & Property,Armed Assault
7,0,1,1,1,0,76.576171,33.778175,2,1,0,5,-1,14,67,Unknown,-1,-1,0,9,0,5,0,0,0,-1,Swaram,Firearms,Private Citizens & Property,Armed Assault
8,0,1,1,1,1,76.576171,33.778175,2,1,0,5,-1,14,84,Hizbul Mujahideen (HM),-1,0,0,19,0,0,0,0,0,-1,Siala,Firearms,Private Citizens & Property,Armed Assault
8,0,1,1,1,0,74.789902,34.08374,3,1,0,6,7,3,25,Unknown,-1,0,0,0,0,7,0,0,0,-1,Srinagar,Explosives,Police,Bombing/Explosion
8,0,1,1,1,0,75.135264,32.925224,2,1,0,5,-1,14,69,Unknown,-1,0,0,3,0,0,0,0,0,-1,Udhampur district,Firearms,Private Citizens & Property,Armed Assault
8,0,1,1,1,1,76.576171,33.778175,2,1,0,5,-1,14,67,Unknown,-1,0,0,19,0,0,0,0,0,-1,Unknown,Firearms,Private Citizens & Property,Armed Assault
9,0,1,1,1,1,74.789902,34.08374,3,1,0,6,14,4,34,Unknown,-1,0,0,2,0,1,0,0,0,-1,Srinagar,Explosives,Military,Bombing/Explosion
10,0,1,1,1,0,76.576171,33.778175,3,1,0,6,12,14,84,Unknown,-1,-1,0,11,0,0,0,1,0,-1,Bangwani,Explosives,Private Citizens & Property,Bombing/Explosion
10,0,1,1,1,1,74.660068,34.238199,3,1,0,6,8,4,34,Unknown,-1,0,0,1,0,3,0,1,0,-1,Safa Pora,Explosives,Military,Bombing/Explosion
11,0,1,1,1,0,74.789902,34.08374,3,1,0,6,7,15,-1,Unknown,-1,0,0,0,0,15,0,1,0,-1,Srinagar,Explosives,Religious Figures/Institutions,Bombing/Explosion
11,0,1,1,1,0,75.157913,33.732216,3,1,0,6,7,3,22,Unknown,-1,0,0,1,0,40,0,1,0,-1,Anantnag,Explosives,Police,Bombing/Explosion
11,0,1,1,1,0,75.213843,33.816087,3,1,0,6,8,3,23,Unknown,-1,0,0,6,0,4,0,1,0,-1,Sriguhphara,Explosives,Police,Bombing/Explosion
1,0,1,1,1,0,74.553093,34.161541,3,1,0,6,11,3,22,Unknown,-1,-1,0,2,0,1,0,1,0,-1,Pattan,Explosives,Police,Bombing/Explosion
4,0,1,1,0,1,75.135264,32.925224,3,1,0,5,2,4,27,Lashkar-e-Taiba (LeT),-1,0,0,31,-1,-1,-1,1,0,-1,Udhampur district,Firearms,Military,Bombing/Explosion
4,0,1,1,1,0,74.315313,33.371715,3,1,0,6,-1,14,67,Unknown,-1,0,0,5,0,33,0,1,0,-1,Rajouri,Explosives,Private Citizens & Property,Bombing/Explosion
5,0,1,1,1,0,75.085403,33.904121,1,1,0,5,2,2,15,Hizbul Mujahideen (HM),-1,0,0,1,0,2,0,0,0,-1,Dadsara,Firearms,Government (General),Assassination
5,0,1,1,1,1,74.218611,33.702222,2,1,0,5,-1,3,25,Unknown,4,1,0,8,1,2,-1,0,0,-1,Lasana,Firearms,Police,Armed Assault
5,0,1,1,1,1,76.134894,34.553852,2,1,0,5,2,4,34,Separatists,-1,-1,0,22,15,-1,-1,0,0,-1,Kargil District,Firearms,Military,Armed Assault
5,0,1,1,1,1,74.254614,34.526179,1,1,0,5,-1,2,15,Unknown,-1,0,0,1,0,0,0,0,0,-1,Kupwara District,Firearms,Government (General),Assassination
6,0,1,1,0,1,74.901055,34.264018,3,1,0,6,8,4,34,Unknown,-1,0,0,6,0,1,0,0,0,-1,Kangan,Explosives,Military,Bombing/Explosion
6,0,1,1,1,1,74.254614,34.526179,3,1,0,6,8,3,25,Unknown,-1,0,0,2,0,0,0,1,0,-1,Kupwara District,Explosives,Police,Bombing/Explosion
6,0,1,1,1,0,74.789902,34.08374,3,1,0,6,7,14,74,Unknown,-1,0,0,0,0,9,0,0,0,-1,Srinagar,Explosives,Private Citizens & Property,Bombing/Explosion
6,0,1,1,1,1,74.315313,33.371715,3,1,0,6,8,4,34,Unknown,-1,0,0,1,0,4,0,1,0,-1,Rajouri District,Explosives,Military,Bombing/Explosion
6,0,1,1,1,1,74.297154,33.653794,-1,1,0,-1,-1,14,67,Unknown,-1,-1,0,15,0,0,0,0,0,-1,Mohra Bachai,Unknown,Private Citizens & Property,Unknown
6,0,1,1,1,0,75.072066,33.827506,2,1,0,5,-1,14,77,Unknown,-1,0,0,12,0,0,0,0,0,-1,Sangam,Firearms,Private Citizens & Property,Armed Assault
7,0,1,1,1,0,74.263416,33.639869,2,1,0,5,-1,14,69,Unknown,-1,0,0,17,0,-1,0,1,0,-1,Surankot,Firearms,Private Citizens & Property,Armed Assault
7,0,1,1,1,0,75.157913,33.732216,2,1,0,5,-1,14,77,Unknown,-1,0,0,12,0,0,0,1,0,-1,Anantnag,Firearms,Private Citizens & Property,Armed Assault
